year,winter_NAO,winter_NAO_pos,prior_winter_NAO,prior_winter_NAO_pos,two_year_prior_winter_NAO,two_year_prior_winter_NAO_pos,spring_NAO,spring_NAO_pos,prior_spring_NAO,prior_spring_NAO_pos,two_year_prior_spring_NAO,two_year_prior_spring_NAO_pos
1990,1.3033333333333332,1,NA,NA,NA,NA,0.15,1,NA,NA,NA,NA
1991,0.5666666666666667,1,1.3033333333333332,1,NA,NA,-0.15,0,0.15,1,NA,NA
1992,0.6033333333333334,1,0.5666666666666667,1,1.3033333333333332,1,1.5633333333333332,1,-0.15,0,0.15,1
1993,0.9233333333333333,1,0.6033333333333334,1,0.5666666666666667,1,-0.13333333333333333,0,1.5633333333333332,1,-0.15,0
1994,0.92,1,0.9233333333333333,1,0.6033333333333334,1,0.6966666666666667,1,-0.13333333333333333,0,1.5633333333333332,1
1995,1.1066666666666667,1,0.92,1,0.9233333333333333,1,-0.7366666666666667,0,0.6966666666666667,1,-0.13333333333333333,0
1996,-0.14333333333333334,0,1.1066666666666667,1,0.92,1,-0.22333333333333333,0,-0.7366666666666667,0,0.6966666666666667,1
1997,0.89,1,-0.14333333333333334,0,1.1066666666666667,1,-0.9233333333333333,0,-0.22333333333333333,0,-0.7366666666666667,0
1998,0.38333333333333336,1,0.89,1,-0.14333333333333334,0,-1.5733333333333335,0,-0.9233333333333333,0,-0.22333333333333333,0
1999,0.43,1,0.38333333333333336,1,0.89,1,0.3633333333333334,1,-1.5733333333333335,0,-0.9233333333333333,0
2000,1.0233333333333334,1,0.43,1,0.38333333333333336,1,0.5066666666666667,1,0.3633333333333334,1,-1.5733333333333335,0
2001,-0.18666666666666668,0,1.0233333333333334,1,0.43,1,-0.07333333333333333,0,0.5066666666666667,1,0.3633333333333334,1
2002,0.7433333333333334,1,-0.18666666666666668,0,1.0233333333333334,1,0.44666666666666666,1,-0.07333333333333333,0,0.5066666666666667,1
2003,0.3666666666666667,1,0.7433333333333334,1,-0.18666666666666668,0,-0.08,0,0.44666666666666666,1,-0.07333333333333333,0
2004,0.19666666666666668,1,0.3666666666666667,1,0.7433333333333334,1,0.14999999999999997,1,-0.08,0,0.44666666666666666,1
2005,-0.12333333333333335,0,0.19666666666666668,1,0.3666666666666667,1,-0.5333333333333333,0,0.14999999999999997,1,-0.08,0
2006,-0.17333333333333334,0,-0.12333333333333335,0,0.19666666666666668,1,0.31333333333333335,1,-0.5333333333333333,0,0.14999999999999997,1
2007,0.39666666666666667,1,-0.17333333333333334,0,-0.12333333333333335,0,-0.16,0,0.31333333333333335,1,-0.5333333333333333,0
2008,0.5666666666666667,1,0.39666666666666667,1,-0.17333333333333334,0,-1.3966666666666667,0,-0.16,0,0.31333333333333335,1
2009,0.20666666666666664,1,0.5666666666666667,1,0.39666666666666667,1,0.08999999999999998,1,-1.3966666666666667,0,-0.16,0
2010,-1.3233333333333333,0,0.20666666666666664,1,0.5666666666666667,1,-1.01,0,0.08999999999999998,1,-1.3966666666666667,0
2011,0.1433333333333333,1,-1.3233333333333333,0,0.20666666666666664,1,0.38,1,-1.01,0,0.08999999999999998,1
2012,0.9533333333333334,1,0.1433333333333333,1,-1.3233333333333333,0,-0.99,0,0.38,1,-1.01,0
2013,-0.5700000000000001,0,0.9533333333333334,1,0.1433333333333333,1,0.5933333333333333,1,-0.99,0,0.38,1
2014,0.81,1,-0.5700000000000001,0,0.9533333333333334,1,-0.5266666666666666,0,0.5933333333333333,1,-0.99,0
2015,1.52,1,0.81,1,-0.5700000000000001,0,0.27,1,-0.5266666666666666,0,0.5933333333333333,1
2016,0.81,1,1.52,1,0.81,1,-0.2733333333333333,0,0.27,1,-0.5266666666666666,0
2017,0.74,1,0.81,1,1.52,1,-0.043333333333333314,0,-0.2733333333333333,0,0.27,1
2018,0.6966666666666667,1,0.74,1,0.81,1,1.4833333333333334,1,-0.043333333333333314,0,-0.2733333333333333,0
2019,0.7033333333333334,1,0.6966666666666667,1,0.74,1,-1.08,0,1.4833333333333334,1,-0.043333333333333314,0
